City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
306,machico,32.7,-16.7667,22.06,77,20,2.06,PT,1727406514
307,rivera,-30.9053,-55.5508,13.09,97,100,4.39,UY,1727406516
308,petauke,-14.2426,31.3253,19.48,30,0,1.1,ZM,1727406517
309,kamogatacho-kamogata,34.5333,133.5833,30.93,51,100,2.14,JP,1727406518
310,paita,-5.0892,-81.1144,17.23,85,12,4.84,PE,1727406519
311,hammerfest,70.6634,23.6821,6.25,75,75,5.66,NO,1727406520
312,zouerate,22.7187,-12.4521,29.04,40,100,3.75,MR,1727406521
313,geraldton,-28.7667,114.6,17.23,82,100,6.69,AU,1727406522
314,pemangkat,1.1667,108.9667,29.05,69,100,1.25,ID,1727406515
315,puerto yuca,2.9383,-73.2083,23.26,96,58,0.92,CO,1727406524
316,hadibu,12.65,54.0333,25.38,84,89,7.55,YE,1727406526
317,huicungo,-7.2833,-76.8,26.07,55,79,1.51,PE,1727406527
318,santo antonio,-6.3106,-35.4789,20.61,95,80,3.48,BR,1727406528
319,sakaiminato,35.55,133.2333,25.52,77,92,5.68,JP,1727406529
320,daru,-9.0763,143.2092,26.81,85,97,5.02,PG,1727406322
321,papao,-17.75,-149.55,27.82,76,11,3.09,PF,1727406532
322,sungai raya,0.7,108.9,30.42,64,100,1.18,ID,1727406519
323,tual,-5.6667,132.75,27.81,79,92,7.0,ID,1727406534
324,usogorsk,63.4106,48.6872,11.84,55,100,5.26,RU,1727406535
325,lorengau,-2.0226,147.2712,29.8,68,99,2.39,PG,1727406536
326,atafu village,-8.5421,-172.5159,25.18,92,100,7.63,TK,1727406538
327,santo domingo petapa,16.8181,-95.1403,21.9,98,100,1.18,MX,1727406539
328,kavaratti,10.5669,72.642,27.45,82,100,6.4,IN,1727406540
329,fort bragg,35.139,-79.006,24.91,96,100,3.6,US,1727406541
330,oamaru,-45.0784,170.9801,12.43,38,70,6.82,NZ,1727406543
331,dwarka,22.2394,68.9678,27.73,79,100,6.83,IN,1727406544
332,miles city,46.4083,-105.8406,18.54,27,0,5.66,US,1727406545
333,dickinson,29.4608,-95.0513,26.08,67,0,0.0,US,1727406546
334,castillos,-34.1667,-53.8333,13.16,94,100,2.32,UY,1727406547
335,cozumel,20.5083,-86.9458,28.3,86,6,3.4,MX,1727406548
336,hami,42.8,93.45,21.46,31,26,2.89,CN,1727406273
337,inirida,3.8653,-67.9239,23.42,92,83,0.57,CO,1727406551
338,as sulayyil,20.4607,45.5779,27.36,22,100,3.25,SA,1727406554
339,laojunmiao,39.8333,97.7333,17.38,35,54,2.38,CN,1727406493
340,sao raimundo nonato,-9.0153,-42.6994,26.08,41,33,1.91,BR,1727406556
341,sur,22.5667,59.5289,28.87,56,97,2.98,OM,1727406557
342,selkirk,50.1436,-96.8845,22.88,51,0,3.13,CA,1727406558
343,paraty,-23.2178,-44.7131,27.46,40,1,2.5,BR,1727406560
344,nar'yan-mar,67.6713,53.087,11.27,91,93,7.78,RU,1727406313
345,san patricio,28.017,-97.5169,23.97,41,0,1.26,US,1727406562
346,oltinko'l,40.8011,72.1634,18.67,62,100,4.18,UZ,1727406563
347,wusong,30.95,117.7833,27.98,65,41,4.53,CN,1727406564
348,nuku'alofa,-21.1333,-175.2,25.19,78,20,3.6,TO,1727406565
349,tazacorte,28.629,-17.9293,21.54,90,0,4.12,ES,1727406566
350,thakhek,17.4103,104.8307,30.43,69,29,0.83,LA,1727406567
351,enshi,30.3,109.4833,28.38,52,0,0.94,CN,1727406455
352,thinadhoo,0.5333,72.9333,28.08,76,100,8.2,MV,1727406571
353,byron bay,-28.65,153.6167,18.91,71,91,11.13,AU,1727406572
354,maysville,38.6412,-83.7444,21.35,100,100,4.12,US,1727406573
355,vargashi,55.3556,65.8467,8.55,77,53,5.28,RU,1727406576
356,mahibadhoo,3.7833,72.9667,27.7,68,100,7.95,MV,1727406577
357,kez,57.8979,53.7152,6.69,58,9,2.85,RU,1727406578
358,lompoc,34.6391,-120.4579,16.5,88,100,2.57,US,1727406579
359,shingu,33.7333,135.9833,27.14,75,97,5.28,JP,1727406580
360,cadale,2.7603,46.3222,24.94,85,77,7.54,SO,1727406581
361,krasnyye baki,57.131,45.1599,9.8,34,67,3.97,RU,1727406583
362,chulucanas,-5.0925,-80.1625,20.92,74,25,2.61,PE,1727406584
363,kalmunai,7.4167,81.8167,29.61,65,51,2.35,LK,1727406585
364,talnakh,69.4865,88.3972,1.4,95,100,3.46,RU,1727406457
